Unnamed: 0,date,name,country,venue,clean_country
756,"Sep 21 - 22, 2019",Road to IC - Bologna 2019,"Italy, Castenaso, Bologna",PalaGioBat,Italy
758,"Sep 21 - 22, 2019",Arnold Classic Europe 2019,"Spain, L'Hospitalet de Llobregat, Barcelona",Fira Barcelona Gran Via,Spain
761,"Sep 21 - 22, 2019",Dutch Nationals 2019,"Netherlands, Veenendaal",Sporthal Veenendaal-West,Netherlands
762,"Sep 21 - 22, 2019",Estonian Open 2019,"Estonia, Tallinn",Tallinn University of Applied Sciences,Estonia
766,"Sep 21, 2019",III Masovian Open 2019,"Poland, Płock",Młodzieżowy Dom Kultury im. Króla Maciusia Pierwszego,Poland
773,"Sep 21, 2019",Speedcubing Paphos 2019,"Cyprus, Paphos",The International School of Paphos,Cyprus
776,"Sep 20 - 22, 2019",Hungarian Open 2019,"Hungary, Budapest",Lurdy Konferencia- és Rendezvényközpont,Hungary
782,"Sep 14 - 15, 2019",CC El Muelle Open 2019,"Spain, Las Palmas de Gran Canaria",Centro Comercial El Muelle,Spain
785,"Sep 14 - 15, 2019",Mental Breakdown Germany 2019,"Germany, Nürnberg",Bürgersaal Rückersdorf,Germany
790,"Sep 14, 2019",Iasi Back To Cubing 2019,"Romania, Iasi",Iulius Mall,Romania
797,"Sep 13 - 15, 2019",Norrkubing 2019,"Sweden, Skärblacka",Skärblacka Folkets Hus,Sweden
798,"Sep 13 - 15, 2019",Polish Open 2019,"Poland, Biała Podlaska",IV Liceum Ogólnokształcące im. St. Staszica,Poland
799,"Sep 13 - 15, 2019",Danish Open 2019,"Denmark, Kolding",Bjert Hallen,Denmark
803,"Sep 8, 2019",One day in Vileyka 2019,"Belarus, Vileyka",Gymnasium № 1 Logos,Belarus
805,"Sep 7 - 8, 2019",Road to IC - Monterotondo 2019,"Italy, Monterotondo",Centro Sociale Borgonovo,Italy
806,"Sep 7 - 8, 2019",Sandnes Open 2019,"Norway, Sandnes",Austrått Bydelshus,Norway
808,"Sep 7 - 8, 2019",Champagne Open 2019,"France, Reims",Gymnase Frédérique Bronquard de Tinqueux,France
809,"Sep 7 - 8, 2019",Slovakian Open 2019,"Slovakia, Bratislava",Slovak University of Technology,Slovakia
810,"Sep 7 - 8, 2019",Swiss Science Open 2019,"Switzerland, Winterthur",Swiss Science Center,Switzerland
812,"Sep 7 - 8, 2019",IndalOpen 2019,"Spain, Almería",Pabellon Moises Ruiz,Spain
819,"Sep 7, 2019",Timisoara West Side Open 2019,"Romania, Timisoara",Universitatea de Vest din Timisoara,Romania
824,"Aug 31 - Sep 1, 2019",Bilbao Open 2019,"Spain, Bilbao",Bilborock,Spain
825,"Aug 31 - Sep 1, 2019",Croatian Nationals 2019,"Croatia, Osijek",Ekonomski fakultet u Osijeku,Croatia
826,"Aug 31 - Sep 1, 2019",Cubing in Cill Chainnigh 2019,"Ireland, Kilkenny","Ormonde Hotel, Kilkenny",Ireland
828,"Aug 31 - Sep 1, 2019",Sofia Autumn 2019,"Bulgaria, Sofia",Sofia Mathematical High School,Bulgaria
829,"Aug 31 - Sep 1, 2019",Wrocław Side Challenge 2019,"Poland, Wrocław",Instytut Informatyki Uniwersytetu Wrocławskiego,Poland
830,"Aug 31, 2019",Sigulda Open 2019,"Latvia, Sigulda",Siguldas 1. pamatskola,Latvia
831,"Aug 31, 2019",Fewest Moves Helsinki 2019,"Finland, Helsinki",Autotalo,Finland
845,"Aug 24 - 25, 2019",ABHC 2019,"United Kingdom, Crawley, West Sussex",Hazelwick School,United Kingdom
846,"Aug 24 - 25, 2019",Bucharest Blind and Stuff 2019,"Romania, Bucuresti",Colegiul Tehnologic Viaceslav Harnaj,Romania
851,"Aug 24 - 25, 2019",Swisscubing Cup IV 2019,"Switzerland, Neuchâtel","Avenue de Clos-Brochet 10, 2000 Neuchâtel",Switzerland
856,"Aug 24 - 25, 2019",Hungarian Summer 2019,"Hungary, Budapest",Duna Aréna,Hungary
857,"Aug 24 - 25, 2019",Icelandic Nationals 2019,"Iceland, Reykjavik",Flensborgarskólinn,Iceland
860,"Aug 24, 2019",Project Jastrzębie-Zdrój 2019,"Poland, Jastrzębie-Zdrój",Dom Sołecki,Poland
868,"Aug 23 - 25, 2019",Ukrainian Nationals 2019,"Ukraine, Lviv",Tech Startup School,Ukraine
877,"Aug 17 - 18, 2019",Vantaa Back to School 2019,"Finland, Vantaa",Tikkurilan lukio,Finland
878,"Aug 17 - 18, 2019",Kharkiv Open 2019,"Ukraine, Kharkiv","Jewish Cultural Center ""Beit Dan""",Ukraine
879,"Aug 17 - 18, 2019",Baia Mare North Open 2019,"Romania, Baia Mare",Colegiul National Gheorghe Sincai,Romania
886,"Aug 17, 2019",Østerhøj Open 2019,"Denmark, Måløv",Måløvhøjskole,Denmark
887,"Aug 17, 2019",Fão Cube Open 2019,"Portugal, Fão",Espaço da Festa da Cerveja e do Marisco 2019,Portugal
893,"Aug 16 - 17, 2019",Hoogland Open 2019,"Netherlands, Hoogland",Dorpshuis De Neng,Netherlands
899,"Aug 10 - 11, 2019",Constanta Cube Days 2019,"Romania, Constanța","Liceul Teoretic ""Ovidius""",Romania
900,"Aug 10 - 11, 2019",Sens Open 2019,"France, Sens",Salle des fêtes Maillot,France
903,"Aug 10 - 11, 2019",Vinnytsia Cube Cup 2019,"Ukraine, Vinnytsia",Youth Center «Kvadrat»,Ukraine
906,"Aug 10 - 11, 2019",GLS Cup III 2019,"Poland, Gdańsk",Mercure Old Town,Poland
908,"Aug 10 - 11, 2019",Jönköping Side Events 2019,"Sweden, Jönköping",Kulturhuset,Sweden
909,"Aug 10 - 11, 2019",LYN Cubing Days 2019,"Switzerland, Winterthur",Alterszentrum Brühlgut,Switzerland
